product_name,merchant_category,search_price,aw_image_url,merchant_deep_link,category_name
Ben Sherman Boys Core Backpack Black,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fs%2F2%2Fbs2792_1_large.jpg&feedId=2606&k=0da60ae48909ce94de742139c31744169cd7c65a,http://www.mandmdirect.ie/01/details/BS2792,Bags
Ben Sherman Boys Core Backpack Indigo,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fs%2F2%2Fbs2793_1_large.jpg&feedId=2606&k=410b365ff737657dfbea079b68fd5df1d82fc5a6,http://www.mandmdirect.ie/01/details/BS2793,Bags
Ben Sherman Boys Union Jack Backpack Red,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fs%2F2%2Fbs2794_1_large.jpg&feedId=2606&k=6e410f466a4566c0402194525c3d198f31af03ae,http://www.mandmdirect.ie/01/details/BS2794,Bags
Ben Sherman Boys Target Backpack Red,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fs%2F2%2Fbs2795_1_large.jpg&feedId=2606&k=ffb8f1a8e132b2b82d2db62237ff22de99d72eff,http://www.mandmdirect.ie/01/details/BS2795,Bags
Ben Sherman Boys Zip Backpack Navy,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fs%2F2%2Fbs2796_1_large.jpg&feedId=2606&k=62194c75853898a40f4ff474863a2a48b68e168b,http://www.mandmdirect.ie/01/details/BS2796,Bags
Beck And Hersey Junior Rucksack Blue Multi,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fy%2F2%2Fby288_1_large.jpg&feedId=2606&k=fd725a2d3f0f075cdd5501966016975bef7a1079,http://www.mandmdirect.ie/01/details/BY288,Bags
Beck And Hersey Junior Rucksack Black,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fy%2F2%2Fby289_1_large.jpg&feedId=2606&k=17ee6b21a08816965b4beabc57afdf473ac1115e,http://www.mandmdirect.ie/01/details/BY289,Bags
Beck And Hersey Junior Rucksack Red Multi,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fy%2F2%2Fby290_1_large.jpg&feedId=2606&k=ef4223b0e549346994078c3f5fbb08976adc4e00,http://www.mandmdirect.ie/01/details/BY290,Bags
Beck And Hersey Junior Rucksack Multi,Boys|Bags|Rucksacks,15.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fb%2Fy%2F2%2Fby291_1_large.jpg&feedId=2606&k=ea93299119002764499265900dd0bc5247d07103,http://www.mandmdirect.ie/01/details/BY291,Bags
DFND London Boys Backpack Navy,Boys|Bags|Rucksacks,9.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Fd%2Ff%2F2%2Fdf259_1_large.jpg&feedId=2606&k=aa2215a6db9e7f9778b8b211e73c70801195208f,http://www.mandmdirect.ie/01/details/DF259,Bags
Fluid Boys Raglan Long Sleeve Hooded Top Light Grey Marl/Charcoal Marl,Boys|Hoodies And Sweatshirts|Hoodies,20.95,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aresources.mandmdirect.com%2FImages%2F_default%2Ff%2Fd%2F1%2Ffd1192_1_large.jpg&feedId=2606&k=58dd93898f20a13bdef6ec922061b9f4c7701f47,http://www.mandmdirect.ie/01/details/FD1192,Children's Clothing
